"","age.std","rad.std","age","rad","crim"
"1",-0.119894767215808,-0.981871187861868,65.2,1,0.00632
"2",0.366803426432622,-0.86702448858815,78.9,2,0.02731
"3",-0.265548971154389,-0.86702448858815,61.1,2,0.02729
"4",-0.809087829754461,-0.752177789314432,45.8,3,0.03237
"5",-0.510674338758343,-0.752177789314432,54.2,3,0.06905
"6",-0.350809968581852,-0.752177789314432,58.7,3,0.02985
"7",-0.0701591853831221,-0.522484390766995,66.6,5,0.08829
"8",0.977840574662768,-0.522484390766995,96.1,5,0.14455
"9",1.11638969548239,-0.522484390766995,100,5,0.21124
"10",0.615481335596054,-0.522484390766995,85.9,5,0.17004
"11",0.913894826592171,-0.522484390766995,94.3,5,0.22489
"12",0.508905088811726,-0.522484390766995,82.9,5,0.11747
"13",-1.05066065579894,-0.522484390766995,39,5,0.09378
"14",-0.240681180238046,-0.637331090040713,61.8,4,0.62976
"15",0.565745753763367,-0.637331090040713,84.5,4,0.63796
"16",-0.428965882890359,-0.637331090040713,56.5,4,0.62739
"17",-1.39525718706826,-0.637331090040713,29.3,4,1.05393
"18",0.466274590097995,-0.637331090040713,81.7,4,0.7842
"19",-1.1359216532264,-0.637331090040713,36.6,4,0.80271
"20",0.0328645198417283,-0.637331090040713,69.5,4,0.7258
"21",1.04889140585232,-0.637331090040713,98.1,4,1.25179
"22",0.732715207058814,-0.637331090040713,89.2,4,0.85204
"23",0.821528746045754,-0.637331090040713,91.7,4,1.23247
"24",1.11638969548239,-0.637331090040713,100,4,0.98843
"25",0.906789743473216,-0.637331090040713,94.1,4,0.75026
"26",0.608376252477098,-0.637331090040713,85.7,4,0.84054
"27",0.771793164213068,-0.637331090040713,90.3,4,0.67191
"28",0.718505040820904,-0.637331090040713,88.8,4,0.95577
"29",0.917447368151649,-0.637331090040713,94.4,4,0.77299
"30",0.66521691742874,-0.637331090040713,87.3,4,1.00245
"31",0.906789743473216,-0.637331090040713,94.1,4,1.13081
"32",1.11638969548239,-0.637331090040713,100,4,1.35472
"33",0.476932214776427,-0.637331090040713,82,4,1.38799
"34",0.938762617508514,-0.637331090040713,95,4,1.15172
"35",1.00626090713859,-0.637331090040713,96.9,4,1.61282
"36",-0.0133185204314803,-0.522484390766995,68.2,5,0.06417
"37",-0.254891346475957,-0.522484390766995,61.4,5,0.09744
"38",-0.961847116811998,-0.522484390766995,41.5,5,0.08014
"39",-1.36328431303297,-0.522484390766995,30.2,5,0.17505
"40",-1.66169780402908,-0.752177789314432,21.8,3,0.02763
"41",-1.87485029759774,-0.752177789314432,15.8,3,0.03359
"42",-2.33312815877035,-0.752177789314432,2.9,3,0.12744
"43",-2.20168412106968,-0.752177789314432,6.6,3,0.1415
"44",-2.20523666262916,-0.752177789314432,6.5,3,0.15936
"45",-1.01513524020416,-0.752177789314432,40,3,0.12269
"46",-1.23539281689177,-0.752177789314432,33.8,3,0.17142
"47",-1.25315552468916,-0.752177789314432,33.3,3,0.18836
"48",0.601271169358143,-0.752177789314432,85.5,3,0.22927
"49",0.949420242186947,-0.752177789314432,95.3,3,0.25387
"50",-0.233576097119091,-0.752177789314432,62,3,0.21977
"51",-0.812640371313939,-0.637331090040713,45.7,4,0.08873
"52",-0.198050681524315,-0.637331090040713,63,4,0.04337
"53",-1.68656559494543,-0.637331090040713,21.1,4,0.0536
"54",-1.67590797026699,-0.637331090040713,21.4,4,0.04981
"55",-0.745142081683864,-0.752177789314432,47.6,3,0.0136
"56",-1.65814526246961,-0.522484390766995,21.9,5,0.01311
